C1:1
C15:1
C18:1
C19:1
C2:1
C20:1
C21:1
C22:1
C23:1
C24:1
C25:1
C26:1
C27:1
C28:1
C29:1
C3:1
C30:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
CAN_L1:1
CAN_R1:1
D1:1
D2:1
D3:1
D4:1
D5:1
D6:1
G***:1
INA219:1
INA_EXC_JP3:1
INA_EXC_JP4:1
INA_EXC_JP6:1
INA_EXC_JP7:1
INA_PWR_JP3:1
INA_PWR_JP4:1
INA_PWR_JP6:1
INA_PWR_JP7:1
INA_VREF_JP3:1
INA_VREF_JP4:1
INA_VREF_JP6:1
INA_VREF_JP7:1
J1:1
J10:2
J11:1
J12:1
J13:1
J14:1
J16:1
J2:1
J3:1
J4:1
J5:1
J6:1
J7:1
J8:1
J9:1
LEFT_LC_CONN1:1
PS1:1
R1:1
R11:1
R12:1
R15:1
R16:1
R17:1
R18:1
R19:1
R2:1
R20:1
R21:1
R22:1
R23:1
R24:1
R25:1
R26:1
R3:1
R4:1
R5:1
R6:1
R7:1
RIGHT_LC_CONN1:1
SHUNT0:1
TEENSYPOWERJP1:1
TP1:1
TP2:1
U$6:1
U1:1
U10:1
U2:1
U3:1
U4:1
U5:1
U6:1
U7:1
USB0:1
