Time (s),Ankle Position (deg),Ankle Velocity (deg/s),Cable 1 Tension,Cable 2 Tension,Motor Position (rad),Motor Velocity (rad/s),Motor Torque (Nm),Motor Temperature (C)
1.6507449999917299,0.0,0.0,0.0,0.0,2.3561840057373047,0.16483688354492188,-0.0036630630493164062,66
1.651070250023622,0.0,0.0,0.0,0.0,2.3561840057373047,0.120880126953125,-0.0036630630493164062,66
1.6511279590195045,0.0,0.0,0.0,0.0,2.3561840057373047,0.120880126953125,-0.0036630630493164062,66
1.6808202500105835,0.0,0.0,0.0,0.0,2.3561840057373047,0.120880126953125,-0.0036630630493164062,66
1.6808685840223916,0.0,0.0,0.0,0.0,2.3561840057373047,0.14285659790039062,-0.01831531524658203,66
1.6808900840114802,0.0,0.0,0.0,0.0,2.3561840057373047,0.14285659790039062,-0.01831531524658203,66
1.7103197500109673,0.0,0.0,0.0,0.0,2.3561840057373047,0.14285659790039062,-0.01831531524658203,66
1.710349791974295,0.0,0.0,0.0,0.0,2.3561840057373047,0.14285659790039062,-0.01831531524658203,66
1.7413601669832133,0.0,0.0,0.0,0.0,2.3561840057373047,0.14285659790039062,-0.01831531524658203,66
1.7415412919945084,0.0,0.0,0.0,0.0,2.3561840057373047,0.120880126953125,-0.010989189147949219,66
1.741571208985988,-0.0054931640625,0.0,0.0,0.0,2.3561840057373047,0.120880126953125,-0.010989189147949219,66
1.7707694999990053,-0.0054931640625,0.0,0.0,0.0,2.3561840057373047,0.120880126953125,-0.010989189147949219,66
1.7709074590238743,-0.0054931640625,0.0,0.0,0.0,2.3561840057373047,0.120880126953125,-0.010989189147949219,66
1.801617624994833,-0.0054931640625,0.0,0.0,0.0,2.3561840057373047,0.120880126953125,-0.010989189147949219,66
1.801652333990205,-0.0054931640625,0.0,0.0,0.0,2.3561840057373047,-0.09889984130859375,-0.010989189147949219,66
1.8020779590005986,-0.0054931640625,0.0,2.053333282470703,2.4917216300964355,2.3561840057373047,-0.09889984130859375,-0.010989189147949219,66
1.8292896670172922,-0.0054931640625,0.0,2.053333282470703,2.4917216300964355,2.3561840057373047,-0.09889984130859375,-0.010989189147949219,66
1.8303414169931784,-0.0054931640625,0.0,2.053333282470703,2.4917216300964355,2.3561840057373047,-0.09889984130859375,-0.010989189147949219,66
1.8303922089980915,0.0,0.0,2.053333282470703,2.4917216300964355,2.3561840057373047,-0.09889984130859375,-0.010989189147949219,66
1.859545834013261,0.0,0.0,2.0484981536865234,2.4836628437042236,2.3561840057373047,-0.09889984130859375,-0.010989189147949219,66
1.8614033340127207,0.0,0.0,2.0484981536865234,2.4836628437042236,2.3561840057373047,-0.09889984130859375,-0.010989189147949219,66
1.861446666996926,0.0,0.0,2.0484981536865234,2.4836628437042236,2.3561840057373047,0.120880126953125,-0.01831531524658203,66
1.8909717919887044,-0.0054931640625,0.0,2.0484981536865234,2.4836628437042236,2.3561840057373047,0.120880126953125,-0.01831531524658203,66
1.8919619169901125,-0.0054931640625,0.0,2.0484981536865234,2.4836628437042236,2.3561840057373047,0.16483688354492188,-0.0036630630493164062,66
1.8920081669930369,-0.0054931640625,0.0,2.046886444091797,2.4836628437042236,2.3561840057373047,0.16483688354492188,-0.0036630630493164062,66
1.920440084009897,-0.0054931640625,0.0,2.046886444091797,2.4836628437042236,2.3561840057373047,0.16483688354492188,-0.0036630630493164062,66
1.9215425840229727,-0.0054931640625,0.0,2.046886444091797,2.4836628437042236,2.3561840057373047,0.16483688354492188,-0.0036630630493164062,66
1.9216480419854634,-0.0054931640625,0.0,2.046886444091797,2.4836628437042236,2.3561840057373047,0.16483688354492188,-0.0036630630493164062,66
1.949629625014495,-0.0054931640625,0.0,2.0484981536865234,2.48769211769104,2.3561840057373047,0.16483688354492188,-0.0036630630493164062,66
1.9514352090191096,-0.0054931640625,0.0,2.0484981536865234,2.48769211769104,2.3561840057373047,0.16483688354492188,-0.0036630630493164062,66
1.9515474999789149,-0.0054931640625,0.0,2.0484981536865234,2.48769211769104,2.3561840057373047,-0.03296661376953125,-0.010989189147949219,66
1.9799539999803528,0.0,0.0,2.0484981536865234,2.48769211769104,2.3561840057373047,-0.03296661376953125,-0.010989189147949219,66
1.9830825420212932,0.0,0.0,2.0484981536865234,2.48769211769104,2.3561840057373047,0.16483688354492188,-0.01831531524658203,66
1.983477292000316,0.0,0.0,2.053333282470703,2.4852747917175293,2.3561840057373047,0.16483688354492188,-0.01831531524658203,66
2.011864333995618,0.0,0.0,2.053333282470703,2.4852747917175293,2.3561840057373047,0.16483688354492188,-0.01831531524658203,66
2.012088584015146,0.0,0.0,2.053333282470703,2.4852747917175293,2.3561840057373047,0.16483688354492188,-0.01831531524658203,66
2.0121036670170724,-0.0054931640625,0.0,2.053333282470703,2.4852747917175293,2.3561840057373047,0.16483688354492188,-0.01831531524658203,66
2.0389824170270003,-0.0054931640625,0.0,2.053333282470703,2.4852747917175293,2.3561840057373047,0.16483688354492188,-0.01831531524658203,66
2.0399567920248955,-0.0054931640625,0.0,2.053333282470703,2.4852747917175293,2.3561840057373047,0.07692337036132812,-0.010989189147949219,66
2.0400695839780383,-0.0054931640625,0.0,2.0573625564575195,2.484468698501587,2.3561840057373047,0.07692337036132812,-0.010989189147949219,66
2.069640542031266,-0.0054931640625,0.0,2.073479652404785,2.478827714920044,2.3561840057373047,0.07692337036132812,-0.010989189147949219,66
2.0710892499773763,-0.0054931640625,0.0,2.073479652404785,2.478827714920044,2.3561840057373047,0.07692337036132812,-0.010989189147949219,66
