Time (s),Left Encoder Raw,Right Encoder Raw,Left Encoder (deg),Right Encoder (deg),Left Load Cell 1 (V),Left Load Cell 2 (V),Right Load Cell 1 (V),Right Load Cell 2 (V),Motor CAN ID,Motor Position (rad),Motor Velocity (rad/s),Motor Torque (Nm),Motor Temperature (C),Motor Error
0.0004497499903663993,0,0,0.0,0.0,2.458681344985962,2.4119412899017334,0.03223443403840065,0.030622711405158043,2,0.3469524383544922,0.010990142822265625,-0.010989189147949219,63,0
0.1408802910009399,0,0,0.0,0.0,2.458681344985962,2.41355299949646,0.03223443403840065,0.030622711405158043,2,0.3469524383544922,-0.120880126953125,-0.010989189147949219,63,0
0.19822325004497543,0,0,0.0,0.0,2.458681344985962,2.41113543510437,0.03223443403840065,0.030622711405158043,2,0.3473339080810547,0.07692337036132812,-0.010989189147949219,63,0
0.3068080410012044,0,0,0.0,0.0,2.4578754901885986,2.41113543510437,0.03304029256105423,0.030622711405158043,2,0.3469524383544922,0.0549468994140625,-0.010989189147949219,63,0
0.4127678330405615,0,0,0.0,0.0,2.4578754901885986,2.41113543510437,0.03223443403840065,0.030622711405158043,2,0.3469524383544922,-0.07692337036132812,-0.010989189147949219,63,0
0.5182749160449021,0,0,0.0,0.0,2.4578754901885986,2.41113543510437,0.03223443403840065,0.030622711405158043,2,0.3469524383544922,-0.14285659790039062,-0.010989189147949219,63,0
0.6256652500014752,0,0,0.0,0.0,2.458681344985962,2.407912015914917,0.03223443403840065,0.03142857179045677,2,0.3469524383544922,-0.07692337036132812,-0.010989189147949219,63,0
0.7322614160366356,0,0,0.0,0.0,2.4635164737701416,2.459487199783325,0.03223443403840065,0.030622711405158043,2,0.3469524383544922,-0.09889984130859375,-0.010989189147949219,63,0
0.8377183330012485,0,0,0.0,0.0,2.4602928161621094,2.4119412899017334,0.03223443403840065,0.03142857179045677,2,0.3469524383544922,-0.03296661376953125,-0.010989189147949219,63,0
0.9431249159970321,0,0,0.0,0.0,2.4578754901885986,2.41113543510437,0.03304029256105423,0.030622711405158043,2,0.3469524383544922,-1.8913906899009625e-16,5.936264408272895e-37,0,0
1.0491774160182104,0,0,0.0,0.0,2.458681344985962,2.4119412899017334,0.03223443403840065,0.030622711405158043,2,0.3473339080810547,0.010990142822265625,-0.010989189147949219,63,0
1.154019916022662,0,0,0.0,0.0,2.4578754901885986,2.4119412899017334,0.03223443403840065,0.030622711405158043,2,0.3469524383544922,-0.14285659790039062,-0.010989189147949219,63,0
1.2583869160152972,0,0,0.0,0.0,2.458681344985962,2.4119412899017334,0.03223443403840065,0.030622711405158043,2,0.3473339080810547,0.09889984130859375,-0.010989189147949219,63,0
1.362684291030746,0,0,0.0,0.0,2.4578754901885986,2.41113543510437,3.732736810314518e-39,1.2065179777836675e-42,116,0.03223443403840065,0.030622711405158043,0.0,2,0
1.465689041011501,0,0,0.0,0.0,2.459487199783325,2.412747383117676,0.03304029256105423,0.030622711405158043,2,0.3469524383544922,-0.03296661376953125,-0.010989189147949219,63,0
1.5723125410149805,0,0,0.0,0.0,2.458681344985962,2.407912015914917,0.03223443403840065,0.029816849157214165,2,0.3469524383544922,-0.07692337036132812,-0.010989189147949219,63,0
1.6778886250103824,0,0,0.0,0.0,2.458681344985962,2.4119412899017334,0.03142857179045677,0.030622711405158043,2,0.3469524383544922,0.010990142822265625,-0.010989189147949219,63,0
1.7828805000171997,0,0,0.0,0.0,2.4602928161621094,2.4143588542938232,0.030622711405158043,0.030622711405158043,2,0.3469524383544922,-0.07692337036132812,-0.010989189147949219,63,0
1.888364916027058,0,0,0.0,0.0,2.4514284133911133,2.3498899936676025,0.03223443403840065,0.030622711405158043,2,0.3469524383544922,-0.010990142822265625,-0.010989189147949219,63,0
1.995218083029613,0,0,0.0,0.0,2.459487199783325,2.410329580307007,0.03223443403840065,0.030622711405158043,2,0.3473339080810547,0.03296661376953125,-0.010989189147949219,63,0
2.1014307910227217,0,0,0.0,0.0,2.4578754901885986,2.4071061611175537,0.03223443403840065,0.030622711405158043,2,0.3469524383544922,0.03296661376953125,-0.010989189147949219,63,0
2.207598250010051,0,0,0.0,0.0,2.4578754901885986,2.407912015914917,0.03223443403840065,0.030622711405158043,2,0.3469524383544922,-0.09889984130859375,-0.010989189147949219,63,0
2.3135117500205524,0,0,0.0,0.0,2.458681344985962,2.41113543510437,0.03223443403840065,0.029816849157214165,2,0.3469524383544922,-0.010990142822265625,-0.010989189147949219,63,0
2.419435041025281,0,0,0.0,0.0,2.4570696353912354,2.4087181091308594,0.03304029256105423,0.030622711405158043,2,0.3469524383544922,-0.120880126953125,-0.010989189147949219,63,0
2.526488458039239,0,0,0.0,0.0,2.458681344985962,2.412747383117676,0.03223443403840065,0.030622711405158043,2,0.3469524383544922,-0.07692337036132812,-0.010989189147949219,63,0
2.632963041018229,0,0,0.0,0.0,2.458681344985962,2.412747383117676,0.03223443403840065,0.030622711405158043,2,0.3469524383544922,-0.0549468994140625,-0.010989189147949219,63,0
2.738323625002522,0,0,0.0,0.0,2.4602928161621094,2.412747383117676,0.03223443403840065,0.030622711405158043,63,0.03223443403840065,0.030622711405158043,0.0,2,0
2.844838124990929,0,0,0.0,0.0,2.459487199783325,2.41355299949646,0.03304029256105423,0.030622711405158043,2,0.3473339080810547,0.09889984130859375,-0.010989189147949219,63,0
2.949893666023854,0,0,0.0,0.0,2.458681344985962,2.41113543510437,0.03223443403840065,0.030622711405158043,2,0.3473339080810547,0.3846168518066406,-0.010989189147949219,63,0
3.0582085410133004,0,0,0.0,0.0,2.459487199783325,2.4095237255096436,0.03223443403840065,0.030622711405158043,2,0.3469524383544922,-0.07692337036132812,-0.010989189147949219,63,0
3.1666397910448723,0,0,0.0,0.0,2.4570696353912354,2.4095237255096436,0.03223443403840065,0.030622711405158043,2,0.3473339080810547,0.16483688354492188,-0.010989189147949219,63,0
3.271782625000924,0,0,0.0,0.0,2.456263542175293,2.4087181091308594,0.03223443403840065,0.030622711405158043,2,0.3469524383544922,-0.010990142822265625,-0.010989189147949219,63,0
3.376754333032295,0,0,0.0,0.0,2.458681344985962,2.412747383117676,0.03223443403840065,0.030622711405158043,2,0.3473339080810547,0.07692337036132812,-0.010989189147949219,63,0
3.4818306250381283,0,0,0.0,0.0,2.458681344985962,2.4143588542938232,0.03223443403840065,0.030622711405158043,2,0.3469524383544922,0.03296661376953125,-0.010989189147949219,63,0
3.588157374993898,0,0,0.0,0.0,2.4578754901885986,2.4119412899017334,0.03223443403840065,0.030622711405158043,2,0.3469524383544922,-0.07692337036132812,-0.010989189147949219,63,0
3.7035130000440404,0,0,0.0,0.0,2.458681344985962,2.412747383117676,0.03223443403840065,0.029816849157214165,2,0.3469524383544922,-0.07692337036132812,-0.010989189147949219,63,0
3.8083042500074953,0,0,0.0,0.0,2.459487199783325,2.41597056388855,0.03223443403840065,0.030622711405158043,2,0.3469524383544922,0.010990142822265625,-0.010989189147949219,63,0
3.9213807500200346,0,0,0.0,0.0,2.458681344985962,2.412747383117676,0.03223443403840065,0.029816849157214165,2,0.3469524383544922,-0.09889984130859375,-0.010989189147949219,63,0
