elapsed_time_s,stage_elapsed_time_s,stage_number,device_sample_time,commanded_motor_torque_nm,measured_motor_torque_nm,motor_position_rad,motor_velocity_rad_s,motor_temperature_c,encoder_raw,ankle_angle_deg,ankle_velocity_deg_s,loadcell1,loadcell2
2.392093415997806,1.385102290994837,2,87474.2254955,0.1,-0.06959724426269531,5.768863677978516,-1.4615402221679688,65,0,0.0,0.0,0.0,0.0
2.3922808750066906,1.3852897500037216,2,87474.225594959,0.1,-0.06959724426269531,5.768863677978516,-1.4615402221679688,65,0,0.0,0.0,0.0,0.0
2.3923360830085585,1.3853449580055894,2,87474.225713459,0.1,-0.06959724426269531,5.768863677978516,-1.4615402221679688,65,0,0.0,0.0,0.0,0.0
2.4170881250029197,1.4100969999999506,2,87474.255719542,0.1,-0.06959724426269531,5.768863677978516,-1.4615402221679688,65,0,0.0,0.0,0.0,0.0
2.4175911659986014,1.4106000409956323,2,87474.256100834,0.1,-3.431409069372356e-33,5.768863677978516,-1.4615402221679688,65,0,0.0,0.0,0.0,0.0
2.417732916001114,1.410741790998145,2,87474.256710209,0.1,-3.431409069372356e-33,5.768863677978516,-1.4615402221679688,65,0,0.0,0.0,0.0,0.0
2.4479774159990484,1.4409862909960793,2,87474.285358834,0.1,-3.431409069372356e-33,5.768863677978516,-1.4615402221679688,65,0,0.0,0.0,0.0,0.0
2.4481316660094308,1.4411405410064617,2,87474.285571375,0.1,-3.431409069372356e-33,5.768863677978516,-1.4615402221679688,65,416,0.0,0.0,0.0,0.0
2.477137000008952,1.4701458750059828,2,87474.314361459,0.1,-3.431409069372356e-33,5.768863677978516,-1.4615402221679688,65,416,0.0,0.0,0.0,0.0
2.4772377080080332,1.4702465830050642,2,87474.31483175,0.1,-0.06959724426269531,5.768863677978516,-1.4615402221679688,65,416,0.0,0.0,0.0,0.0
2.5086477080039913,1.5016565830010222,2,87474.344941584,0.1,-0.06959724426269531,5.768863677978516,-1.4615402221679688,65,416,0.0,0.0,0.0,0.0
2.508726458007004,1.501735333004035,2,87474.345229792,0.1,-0.06959724426269531,5.768863677978516,-1.4615402221679688,65,416,0.0,0.0,0.0,0.0
2.540322458007722,1.533331333004753,2,87474.375547625,0.1,-0.06959724426269531,5.768863677978516,-1.4615402221679688,65,416,0.0,0.0,0.0,0.0
2.540436833005515,1.5334457080025459,2,87474.375752959,0.1,-0.06959724426269531,5.768863677978516,-1.4615402221679688,65,416,0.0,0.0,0.0,0.0
2.5404832500062184,1.5334921250032494,2,87474.375921792,0.1,-0.06959724426269531,5.768863677978516,-1.4615402221679688,65,416,0.0,0.0,-12.319587707519531,-2.8723301887512207
2.571586500009289,1.56459537500632,2,87474.405960417,0.1,-0.06959724426269531,5.768863677978516,-1.4615402221679688,65,416,0.0,0.0,-12.319587707519531,-2.8723301887512207
2.5717399999994086,1.5647488749964396,2,87474.40602525,0.1,-0.06959724426269531,5.768863677978516,-1.4615402221679688,65,416,0.0,0.0,-12.319587707519531,-2.8723301887512207
2.598954875007621,1.591963750004652,2,87474.437011,0.1,-0.06959724426269531,5.768863677978516,-1.4615402221679688,65,416,0.0,0.0,-12.319587707519531,-2.8723301887512207
2.5991245830082335,1.5921334580052644,2,87474.4382565,0.1,-0.06959724426269531,5.768863677978516,-1.4615402221679688,65,416,0.0,0.0,-11.99746036529541,-3.0602378845214844
2.6055381659971317,1.5985470409941627,2,87474.438424875,0.1,-0.06959724426269531,5.768863677978516,-1.4615402221679688,65,416,0.0,0.0,-11.99746036529541,-3.0602378845214844
2.629429499997059,1.6224383749940898,2,87474.464797834,0.1,-0.06959724426269531,5.768863677978516,-1.4615402221679688,65,416,0.0,0.0,-12.45380687713623,-3.0602378845214844
2.629490541003179,1.6224994160002097,2,87474.4648795,0.1,-0.06959724426269531,5.768863677978516,-1.4615402221679688,65,41027,-30.673828125,-1159.581443381854,-12.45380687713623,-3.0602378845214844
2.6602441660070326,1.6532530410040636,2,87474.4945785,0.1,-0.06959724426269531,5.768863677978516,-1.4615402221679688,65,41027,-30.673828125,-1159.581443381854,-11.675324440002441,-2.8723301887512207
2.6604151659994386,1.6534240409964696,2,87474.494741125,0.1,-0.06959724426269531,5.768863677978516,-1.4615402221679688,65,416,0.0,1027.1043049021666,-11.675324440002441,-2.8723301887512207
2.6604592079966096,1.6534680829936406,2,87474.4949075,0.1,-0.047618865966796875,5.758563995361328,-0.6703300476074219,65,416,0.0,1027.1043049021666,-11.675324440002441,-2.8723301887512207
2.6910380000044825,1.6840468750015134,2,87474.525349875,0.1,-0.047618865966796875,5.758563995361328,-0.6703300476074219,65,416,0.0,0.0,-11.675324440002441,-2.8723301887512207
2.6911574999976438,1.6841663749946747,2,87474.5254815,0.1,-0.01831531524658203,5.760852813720703,0.6483497619628906,65,416,0.0,0.0,-11.675324440002441,-2.8723301887512207
2.7211090409982717,1.7141179159953026,2,87474.555614084,0.1,-0.01831531524658203,5.760852813720703,0.6483497619628906,65,416,0.0,0.0,-11.675324440002441,-2.8723301887512207
2.72120637500484,1.714215250001871,2,87474.555798084,0.1,-0.01831531524658203,5.944343566894531,-0.07692337036132812,65,416,0.0,0.0,-11.675324440002441,-2.8723301887512207
2.721237125006155,1.714246000003186,2,87474.555942084,0.1,-0.01831531524658203,5.944343566894531,-0.07692337036132812,65,416,0.0,0.0,-12.641706466674805,-3.0333938598632812
2.751787041008356,1.744795916005387,2,87474.585586875,0.1,-0.01831531524658203,5.944343566894531,-0.07692337036132812,65,416,0.0,0.0,-12.641706466674805,-3.0333938598632812
2.783345083007589,1.77635395800462,2,87474.61636675,0.1,-0.01831531524658203,5.944343566894531,-0.07692337036132812,65,416,0.0,0.0,-12.641706466674805,-3.0333938598632812
2.783454750009696,1.776463625006727,2,87474.616558792,0.1,-0.01831531524658203,5.944343566894531,-0.07692337036132812,65,416,0.0,0.0,-12.641706466674805,-3.0333938598632812
2.7834889160003513,1.7764977909973823,2,87474.616658834,0.1,-0.01831531524658203,5.944343566894531,-0.07692337036132812,65,416,0.0,0.0,-12.158523559570312,-3.0870816707611084
2.8088558750023367,1.8018647499993676,2,87474.646072834,0.1,-0.01831531524658203,5.944343566894531,-0.07692337036132812,65,416,0.0,0.0,-12.158523559570312,-3.0870816707611084
2.808961333008483,1.801970208005514,2,87474.64639575,0.1,-0.01831531524658203,5.944343566894531,-0.07692337036132812,65,416,0.0,0.0,-12.212203025817871,-2.899174213409424
2.809002624999266,1.802011499996297,2,87474.646595584,0.1,-0.01831531524658203,5.944343566894531,-0.07692337036132812,65,416,0.0,0.0,-12.212203025817871,-2.899174213409424
2.839621040999191,1.8326299159962218,2,87474.675872959,0.1,-0.01831531524658203,5.944343566894531,-0.07692337036132812,65,416,0.0,0.0,-12.051138877868652,-2.952862024307251
2.839724290999584,1.8327331659966148,2,87474.676058792,0.1,-0.01831531524658203,5.944343566894531,-0.07692337036132812,65,416,0.0,0.0,-12.051138877868652,-2.952862024307251
2.8397571250097826,1.8327660000068136,2,87474.676199292,0.1,0.09157466888427734,5.946632385253906,-0.010990142822265625,65,416,0.0,0.0,-12.051138877868652,-2.952862024307251
2.870024458010448,1.863033333007479,2,87474.706109917,0.1,0.09157466888427734,5.946632385253906,-0.010990142822265625,65,416,0.0,0.0,-12.051138877868652,-2.952862024307251
2.870129540999187,1.863138415996218,2,87474.706531042,0.1,0.09890079498291016,5.946632385253906,-0.09889984130859375,65,416,0.0,0.0,-12.051138877868652,-2.952862024307251
2.8701687910070177,1.8631776660040487,2,87474.706647209,0.1,0.09890079498291016,5.946632385253906,-0.09889984130859375,65,416,0.0,0.0,-12.265898704528809,-3.1676135063171387
2.9016016660025343,1.8946105409995653,2,87474.735268167,0.1,0.09890079498291016,5.946632385253906,-0.09889984130859375,65,416,0.0,0.0,-12.265898704528809,-3.1676135063171387
2.9016746660054196,1.8946835410024505,2,87474.735437584,0.1,0.09890079498291016,5.946632385253906,-0.09889984130859375,65,416,0.0,0.0,-12.265898704528809,-3.1676135063171387
2.9016977499995846,1.8947066249966156,2,87474.735476125,0.1,0.09890079498291016,5.946632385253906,-0.09889984130859375,65,416,0.0,0.0,-12.265898704528809,-3.1676135063171387
2.9268223749968456,1.9198312499938766,2,87474.764851125,0.1,0.09890079498291016,5.946632385253906,-0.09889984130859375,65,416,0.0,0.0,-12.185359954833984,-2.899174213409424
2.9268757500103675,1.9198846250073984,2,87474.764968417,0.1,0.09890079498291016,5.946632385253906,-0.09889984130859375,65,416,0.0,0.0,-12.185359954833984,-2.899174213409424
2.9268945410003653,1.9199034159973962,2,87474.765063167,0.1,0.09890079498291016,5.946632385253906,0.010990142822265625,65,416,0.0,0.0,-12.185359954833984,-2.899174213409424
2.9579745000082767,1.9509833750053076,2,87474.795688584,0.1,0.09890079498291016,5.946632385253906,0.010990142822265625,65,416,0.0,0.0,-12.185359954833984,-2.899174213409424
2.958130125000025,1.951138999997056,2,87474.795811375,0.1,0.09890079498291016,5.946632385253906,0.010990142822265625,65,416,0.0,0.0,-12.185359954833984,-2.899174213409424
2.9581572910101386,1.9511661660071695,2,87474.795882417,0.1,0.09890079498291016,5.946632385253906,0.010990142822265625,65,416,0.0,0.0,-12.292742729187012,-2.952862024307251
3.020226624998031,2.013235499995062,2,87474.854729459,0.1,0.09890079498291016,5.946632385253906,0.010990142822265625,65,416,0.0,0.0,-12.292742729187012,-2.952862024307251
3.0203037500032224,2.0133126250002533,2,87474.854971625,0.1,0.09890079498291016,5.946632385253906,0.010990142822265625,65,416,0.0,0.0,-12.292742729187012,-2.952862024307251
3.0203274579980643,2.0133363329950953,2,87474.855079167,0.1,0.09890079498291016,5.946632385253906,0.010990142822265625,65,416,0.0,0.0,-12.292742729187012,-2.952862024307251
3.045480041007977,2.038488916005008,2,87474.884406709,0.1,0.09890079498291016,5.946632385253906,0.010990142822265625,65,416,0.0,0.0,-11.594792366027832,-3.274989128112793
3.045544250009698,2.038553125006729,2,87474.88453825,0.1,0.09890079498291016,5.946632385253906,0.010990142822265625,65,416,0.0,0.0,-11.594792366027832,-3.274989128112793
3.0455700000020443,2.038578874999075,2,87474.884632875,0.1,0.09157466888427734,5.946632385253906,-0.07692337036132812,65,416,0.0,0.0,-11.594792366027832,-3.274989128112793
3.076958375007962,2.069967250004993,2,87474.914077042,0.1,0.09157466888427734,5.946632385253906,-0.07692337036132812,65,416,0.0,0.0,-11.594792366027832,-3.274989128112793
3.077009166008793,2.0700180410058238,2,87474.914267875,0.1,0.09890079498291016,5.946632385253906,0.03296661376953125,65,416,0.0,0.0,-11.594792366027832,-3.274989128112793
3.0770332500105724,2.0700421250076033,2,87474.914296417,0.1,0.09890079498291016,5.946632385253906,0.03296661376953125,65,416,0.0,0.0,-12.292742729187012,-2.899174213409424
3.107736541001941,2.100745415998972,2,87474.944083292,0.1,0.09890079498291016,5.946632385253906,0.03296661376953125,65,416,0.0,0.0,-12.292742729187012,-2.899174213409424
3.1078017910040217,2.1008106660010526,2,87474.944230334,0.1,0.09890079498291016,5.946632385253906,0.03296661376953125,65,416,0.0,0.0,-12.292742729187012,-2.899174213409424
3.1078342079999857,2.1008430829970166,2,87474.944371417,0.1,0.09890079498291016,5.946632385253906,0.03296661376953125,65,416,0.0,0.0,-12.292742729187012,-2.899174213409424
3.1392235410021385,2.1322324159991695,2,87474.974535917,0.1,0.09890079498291016,5.946632385253906,0.03296661376953125,65,416,0.0,0.0,-12.400117874145508,-3.0602378845214844
3.139292166000814,2.132301040997845,2,87474.974716,0.1,0.09890079498291016,5.946632385253906,0.03296661376953125,65,416,0.0,0.0,-12.400117874145508,-3.0602378845214844
3.1393142080050893,2.1323230830021203,2,87474.97480075,0.1,0.09157466888427734,5.946632385253906,0.09889984130859375,65,416,0.0,0.0,-12.400117874145508,-3.0602378845214844
3.170268665999174,2.163277540996205,2,87475.0041875,0.1,0.09157466888427734,5.946632385253906,0.09889984130859375,65,416,0.0,0.0,-12.400117874145508,-3.0602378845214844
3.1703222910000477,2.1633311659970786,2,87475.004330084,0.1,0.09157466888427734,5.946632385253906,-0.0549468994140625,65,416,0.0,0.0,-12.400117874145508,-3.0602378845214844
3.170350333006354,2.163359208003385,2,87475.004420209,0.1,0.09157466888427734,5.946632385253906,-0.0549468994140625,65,416,0.0,0.0,-12.480649948120117,-2.8454785346984863
3.1954640409967396,2.1884729159937706,2,87475.034297792,0.1,0.09157466888427734,5.946632385253906,-0.0549468994140625,65,416,0.0,0.0,-12.480649948120117,-2.8454785346984863
3.1955139159981627,2.1885227909951936,2,87475.0344755,0.1,0.09157466888427734,5.946632385253906,-0.0549468994140625,65,416,0.0,0.0,-12.480649948120117,-2.8454785346984863
3.1955434160045115,2.1885522910015425,2,87475.034582792,0.1,0.09157466888427734,5.946632385253906,-0.0549468994140625,65,416,0.0,0.0,-12.480649948120117,-2.8454785346984863
3.2269827910058666,2.2199916660028975,2,87475.064838959,0.1,0.09157466888427734,5.946632385253906,-0.0549468994140625,65,416,0.0,0.0,-12.722245216369629,-2.818634510040283
3.2270894160028547,2.2200982909998856,2,87475.065291167,0.1,0.09157466888427734,5.946632385253906,-0.0549468994140625,65,416,0.0,0.0,-12.722245216369629,-2.818634510040283
3.2271462500066264,2.2201551250036573,2,87475.065373792,0.1,0.09890079498291016,5.946632385253906,-0.27472686767578125,65,416,0.0,0.0,-12.722245216369629,-2.818634510040283
3.2568943329970352,2.249903207994066,2,87475.095490584,0.1,0.09890079498291016,5.946632385253906,-0.27472686767578125,65,416,0.0,0.0,-12.722245216369629,-2.818634510040283
3.256959165999433,2.249968040996464,2,87475.095615042,0.1,0.09890079498291016,5.946632385253906,-0.1868133544921875,65,416,0.0,0.0,-12.722245216369629,-2.818634510040283
3.2569949160097167,2.2500037910067476,2,87475.095714042,0.1,0.09890079498291016,5.946632385253906,-0.1868133544921875,65,416,0.0,0.0,-12.292742729187012,-2.899174213409424
