Time (s),Ankle Position (deg),Ankle Velocity (deg/s),Cable 1 Tension,Cable 2 Tension,Motor Position (rad),Motor Velocity (rad/s),Motor Torque (Nm),Motor Temperature (C)
1.1083029676228762e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.5117286250460893,0.0,0.0,0.0,0.0,0.4339284896850586,0.120880126953125,-0.03296661376953125,65
1.6490873750299215,0.0,0.0,2.2048351764678955,0.035457875579595566,0.4339284896850586,0.3846168518066406,-0.05494499206542969,65
1.739634958037641,0.0,0.0,2.2048351764678955,0.035457875579595566,0.4339284896850586,-0.1868133544921875,-0.05494499206542969,65
1.7949798330082558,0.0,0.0,2.2072527408599854,0.035457875579595566,0.4339284896850586,-0.07692337036132812,0.010989189147949219,65
1.885697333025746,0.0,0.0,2.208864450454712,0.035457875579595566,0.4339284896850586,0.2967033386230469,-0.03296661376953125,65
1.940191958041396,0.0,0.0,2.2217581272125244,0.035457875579595566,0.4339284896850586,0.16483688354492188,0.010989189147949219,65
2.0283884170348756,0.0,0.0,2.2104761600494385,0.035457875579595566,0.4339284896850586,0.3626365661621094,0.01831531524658203,65
2.0847331670229323,0.0,0.0,2.212087869644165,0.036263737827539444,0.4339284896850586,-0.16483688354492188,0.010989189147949219,65
2.1750722500146367,0.0,0.0,2.205641031265259,0.035457875579595566,0.4339284896850586,0.07692337036132812,0.010989189147949219,65
2.232731792028062,0.0,0.0,2.2169229984283447,0.035457875579595566,0.4339284896850586,0.2967033386230469,0.010989189147949219,65
2.3217031250242144,0.0,0.0,2.209670305252075,0.035457875579595566,0.4339284896850586,0.14285659790039062,-0.047618865966796875,65
2.3685278330231085,0.0,0.0,2.2048351764678955,0.035457875579595566,0.4339284896850586,0.14285659790039062,-0.047618865966796875,65
2.4465830420376733,0.0,0.0,2.2128937244415283,0.036263737827539444,0.4339284896850586,0.0549468994140625,0.025641441345214844,65
2.492475208011456,0.0,0.0,2.2072527408599854,0.035457875579595566,0.4339284896850586,0.010990142822265625,0.0036630630493164062,65
2.5718998750089668,0.0,0.0,2.2072527408599854,0.035457875579595566,0.4339284896850586,-0.0549468994140625,0.01831531524658203,65
2.6204183750087395,0.0,0.0,2.209670305252075,0.035457875579595566,0.4339284896850586,0.09889984130859375,-0.04029273986816406,65
2.703363917011302,0.0,0.0,2.2104761600494385,0.035457875579595566,0.4339284896850586,0.1868133544921875,0.01831531524658203,65
2.752266708004754,0.0,0.0,2.209670305252075,0.035457875579595566,0.4339284896850586,0.40659332275390625,-0.0036630630493164062,65
2.835330750036519,0.0,0.0,2.208864450454712,0.035457875579595566,0.4339284896850586,0.010990142822265625,-0.0036630630493164062,65
2.9199432079913095,0.0,0.0,2.2128937244415283,0.035457875579595566,0.4335470199584961,-0.3186798095703125,-0.047618865966796875,65
2.9702619170420803,0.0,0.0,2.215311288833618,0.035457875579595566,0.4335470199584961,-0.1868133544921875,-0.010989189147949219,65
