Time (s),Ankle Position (deg),Ankle Velocity (deg/s),Cable 1 Tension (V),Cable 2 Tension (V),Motor position (rad),Motor velocity (rad/s),Motor Feedforward Torque (Nm),Motor Temperature (C)
0.34708758298074827,18431,0.0,2.482051,3.155751,0.927558,0.01099,-0.025641,62.0
0.4952171249897219,18431,0.0,2.482051,3.146886,0.927558,0.01099,-0.025641,62.0
0.668443083006423,18431,0.0,2.483663,3.179927,0.927558,0.01099,-0.025641,62.0
0.7920416669803672,18431,0.0,2.482051,3.157362,0.927558,0.01099,-0.025641,62.0
0.924312875024043,18431,0.0,2.481246,3.153333,0.927558,0.01099,-0.025641,62.0
1.0364382920088246,18431,0.0,2.482051,3.151721,0.927558,0.01099,-0.025641,62.0
1.1556299999938346,65535,0.0,2.482857,3.176703,0.927558,0.01099,-0.025641,62.0
1.2701376670156606,18431,0.0,2.482857,3.198462,0.927558,0.01099,-0.025641,62.0
1.3923458749777637,18431,0.0,2.482051,3.154139,0.927558,0.01099,-0.025641,62.0
1.5147681669914164,18431,0.0,2.480439,3.067912,0.927558,0.01099,-0.025641,62.0
1.6405239580199122,18431,0.0,2.482857,3.092088,0.927558,0.01099,-0.025641,62.0
1.7747059580287896,18431,0.0,2.482051,3.156557,0.927558,0.01099,-0.025641,62.0
1.9036305000190623,18431,0.0,2.481246,3.176703,0.927558,0.01099,-0.025641,62.0
2.0291346670128405,18431,0.0,2.481246,3.064688,0.927558,0.01099,-0.025641,62.0
2.159746791992802,18431,0.0,2.481246,3.142857,0.927558,0.01099,-0.025641,62.0
2.2889335000072606,18431,0.0,2.482857,3.167839,0.927558,0.01099,-0.025641,62.0
2.4003492079791613,18431,0.0,2.482051,3.130769,0.927558,0.01099,-0.025641,62.0
2.510705417022109,18431,0.0,2.482857,3.175092,0.927558,0.01099,-0.025641,62.0
2.6266484999796376,18431,0.0,2.481246,3.068718,0.927558,0.01099,-0.025641,62.0
2.741919499996584,18431,0.0,2.482051,3.169451,0.927558,0.01099,-0.025641,62.0
2.861937833018601,18431,0.0,2.482051,3.176703,0.927558,0.01099,-0.025641,62.0
2.9776370000327006,18431,0.0,2.481246,3.125128,0.927558,0.01099,-0.025641,62.0
3.0934613330173306,18431,0.0,2.478828,3.062271,0.927558,0.01099,-0.025641,62.0
3.2168206670321524,18431,0.0,2.482051,3.184762,0.927558,0.01099,-0.025641,62.0
3.3384491670294665,18431,0.0,2.481246,3.149304,0.927558,0.01099,-0.025641,62.0
3.4617439580033533,18431,0.0,2.482857,3.184762,0.927558,0.01099,-0.025641,62.0
3.583508250012528,18431,0.0,2.482857,3.146081,0.927558,0.01099,-0.025641,62.0
3.709926416981034,18431,0.0,2.482857,3.167033,0.927558,0.01099,-0.025641,62.0
3.8354672500281595,18431,0.0,2.481246,3.096117,0.927558,0.01099,-0.025641,62.0
3.9616936669917777,18431,0.0,2.482051,3.170256,0.927558,0.01099,-0.025641,62.0
4.090794667019509,18431,0.0,2.483663,3.17348,0.927558,0.01099,-0.025641,62.0
4.222292207996361,18431,0.0,2.482051,3.0937,0.927558,0.01099,-0.025641,62.0
4.354356250027195,18431,0.0,2.482051,3.146081,0.927558,0.01099,-0.025641,62.0
4.485661041981075,18431,0.0,2.482051,3.146886,0.927558,0.01099,-0.025641,62.0
4.61636941699544,18431,0.0,2.482857,3.175897,0.927558,0.01099,-0.025641,62.0
4.731237875006627,18431,0.0,2.482051,3.148498,0.927558,0.01099,-0.025641,62.0
4.8446970829973,18431,0.0,2.482857,3.154139,0.927558,0.01099,-0.025641,62.0
4.9577120000030845,18431,0.0,2.482857,3.146886,0.927558,0.01099,-0.025641,62.0
5.070383333018981,18431,0.0,2.480439,3.087253,0.927558,0.01099,-0.025641,62.0
5.188495583017357,18431,0.0,2.483663,3.189597,0.927558,0.01099,-0.025641,62.0
5.305004417023156,18431,0.0,2.482857,3.154139,0.927558,0.01099,-0.025641,62.0
5.42237975000171,18431,0.0,2.483663,3.12674,0.927558,0.01099,-0.025641,62.0
5.540520916983951,18431,0.0,2.481246,3.146081,0.927558,0.01099,-0.025641,62.0
5.662317208014429,18431,0.0,2.482051,3.155751,0.927558,0.01099,-0.025641,62.0
5.77847695798846,18431,0.0,2.478022,3.152527,0.927558,0.01099,-0.025641,62.0
5.899920750001911,18943,0.0,2.478828,3.176703,0.927558,0.01099,-0.025641,62.0
6.0242307499866,18943,0.0,2.478828,3.144469,0.927558,0.01099,-0.025641,62.0
6.149493333010469,18943,0.0,2.478828,3.15978,0.927558,0.01099,-0.025641,62.0
6.2742179579799995,18943,0.0,2.478022,3.053407,0.927558,0.01099,-0.025641,62.0
6.3915425420273095,18943,0.0,2.489304,3.187985,0.927558,0.01099,-0.025641,62.0
6.51155325002037,18943,0.0,2.494945,3.160586,0.927558,0.01099,-0.025641,62.0
6.634219457977451,18687,0.0,2.501392,3.208938,0.927558,0.01099,-0.025641,62.0
6.754621667030733,18687,0.0,2.506227,3.191209,0.927558,0.01099,-0.025641,62.0
6.873590958013665,18687,0.0,2.507033,3.092894,0.927558,0.01099,-0.025641,62.0
6.99075720802648,18431,0.0,2.511062,3.199267,0.927558,0.01099,-0.025641,62.0
7.111991417012177,18431,0.0,2.512674,3.189597,0.927558,0.01099,-0.025641,62.0
7.236350541992579,18431,0.0,2.517509,3.228278,0.927558,0.01099,-0.025641,62.0
7.358436374983285,18175,0.0,2.519121,3.215385,0.927558,0.01099,-0.025641,62.0
7.482877207978163,17919,0.0,2.519121,3.098535,0.927558,0.01099,-0.025641,62.0
7.610854625003412,15871,0.0,2.519927,3.19282,0.927558,0.01099,-0.025641,62.0
7.733614291995764,8191,0.0,2.520732,3.221025,0.927558,0.01099,-0.025641,62.0
7.860557958018035,64767,0.0,2.519121,3.133187,0.927558,0.01099,-0.025641,62.0
7.984254291979596,60415,0.0,2.519927,3.212161,0.927558,0.01099,-0.025641,62.0
8.105565125006251,54783,0.0,2.520732,3.211355,0.927558,0.01099,-0.025641,62.0
8.232117332983762,46079,0.0,2.521538,3.208938,0.927558,0.01099,-0.025641,62.0
8.356838207982946,36095,0.0,2.525568,3.236337,0.927558,0.01099,-0.025641,62.0
8.478967708011623,27391,0.0,2.525568,3.231502,0.927558,0.01099,-0.025641,62.0
8.606654583010823,65535,0.0,2.529597,3.229084,0.927558,0.01099,-0.025641,62.0
8.734599374991376,4863,0.0,2.529597,3.190403,0.927558,0.01099,-0.025641,62.0
8.862327000009827,59647,0.0,2.531209,3.224249,0.927558,0.01099,-0.025641,62.0
8.99102875002427,46591,0.0,2.524762,3.196044,0.927558,0.01099,-0.025641,62.0
9.117199999978766,35327,0.0,2.524762,3.202491,0.927558,0.01099,-0.025641,62.0
9.227419500006363,27391,0.0,2.517509,3.15011,0.927558,0.01099,-0.025641,62.0
9.338617832981981,22015,0.0,2.49011,3.202491,0.927558,0.01099,-0.025641,62.0
